GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AOM001,AOM002,AOM003,AOM004,AOM005,AOM006,AOM007,AOM008,AOF001
"G0100010","1880","Alabama","010","Autauga","0010","Autauga",11,139,181,556,254,350,71,43,616812
"G0100030","1880","Alabama","010","Baldwin","0030","Baldwin",11,55,47,47,32,88,24,33,277452
"G0100050","1880","Alabama","010","Barbour","0050","Barbour",8,81,196,1083,563,968,132,79,1877936
"G0100070","1880","Alabama","010","Bibb","0070","Bibb",0,27,78,269,128,469,63,23,416347
"G0100090","1880","Alabama","010","Blount","0090","Blount",1,24,152,310,618,936,39,6,541026
"G0100110","1880","Alabama","010","Bullock","0110","Bullock",3,30,147,1383,716,685,84,18,1450436
"G0100130","1880","Alabama","010","Butler","0130","Butler",12,87,292,815,322,555,63,22,852254
"G0100150","1880","Alabama","010","Calhoun","0150","Calhoun",1,35,224,486,364,729,60,7,936129
"G0100170","1880","Alabama","010","Chambers","0170","Chambers",1,41,197,1013,601,917,73,26,1466633
"G0100190","1880","Alabama","010","Cherokee","0190","Cherokee",0,58,306,628,487,895,31,7,965370
"G0100210","1880","Alabama","010","Chilton","0210","Chilton",0,18,64,238,314,590,42,11,398473
"G0100230","1880","Alabama","010","Choctaw","0230","Choctaw",14,45,286,659,264,548,93,57,774850
"G0100250","1880","Alabama","010","Clarke","0250","Clarke",6,137,435,796,327,700,128,65,895504
"G0100270","1880","Alabama","010","Clay","0270","Clay",0,45,177,392,487,840,33,5,552906
"G0100290","1880","Alabama","010","Cleburne","0290","Cleburne",0,30,72,284,304,780,36,12,449512
"G0100310","1880","Alabama","010","Coffee","0310","Coffee",1,16,39,198,177,560,46,23,418696
"G0100330","1880","Alabama","010","Colbert","0330","Colbert",1,36,357,507,278,540,76,26,746550
"G0100350","1880","Alabama","010","Conecuh","0350","Conecuh",6,90,199,475,257,384,63,35,439675
"G0100370","1880","Alabama","010","Coosa","0370","Coosa",2,37,190,518,390,895,70,19,842015
"G0100390","1880","Alabama","010","Covington","0390","Covington",1,49,86,134,81,310,35,10,173580
"G0100410","1880","Alabama","010","Crenshaw","0410","Crenshaw",9,38,160,555,348,659,65,7,700615
"G0100430","1880","Alabama","010","Cullman","0430","Cullman",1,20,24,78,355,468,8,0,106220
"G0100450","1880","Alabama","010","Dale","0450","Dale",1,21,90,350,234,734,67,18,567053
"G0100470","1880","Alabama","010","Dallas","0470","Dallas",21,203,512,2077,636,642,112,73,2468988
"G0100490","1880","Alabama","010","DeKalb","0490","Dekalb",0,45,98,271,458,738,16,3,327329
"G0100510","1880","Alabama","010","Elmore","0510","Elmore",0,113,305,654,339,598,61,37,806777
"G0100530","1880","Alabama","010","Escambia","0530","Escambia",8,38,27,62,57,117,13,20,67379
"G0100550","1880","Alabama","010","Etowah","0550","Etowah",6,44,166,284,417,674,35,1,539341
"G0100570","1880","Alabama","010","Fayette","0570","Fayette",3,43,127,151,202,916,87,15,449451
"G0100590","1880","Alabama","010","Franklin","0590","Franklin",0,16,231,224,203,622,45,16,387645
"G0100610","1880","Alabama","010","Geneva","0610","Geneva",1,36,73,107,80,301,33,7,142801
"G0100630","1880","Alabama","010","Greene","0630","Greene",40,53,200,884,399,450,94,47,1089098
"G0100650","1880","Alabama","010","Hale","0650","Hale",0,18,114,535,420,601,93,53,1269107
"G0100670","1880","Alabama","010","Henry","0670","Henry",7,30,91,608,355,1038,115,41,976985
"G0100710","1880","Alabama","010","Jackson","0710","Jackson",4,100,508,885,627,987,75,30,893279
"G0100730","1880","Alabama","010","Jefferson","0730","Jefferson",0,34,100,347,640,898,48,6,645186
"G0100750","1880","Alabama","010","Lamar","0750","Lamar",0,11,66,213,369,1005,85,16,507417
"G0100770","1880","Alabama","010","Lauderdale","0770","Lauderdale",5,74,319,634,565,955,79,26,863815
"G0100790","1880","Alabama","010","Lawrence","0790","Lawrence",9,47,286,769,541,725,84,41,1135504
"G0100810","1880","Alabama","010","Lee","0810","Lee",10,81,168,749,445,816,94,18,1065101
"G0100830","1880","Alabama","010","Limestone","0830","Limestone",12,65,274,1154,695,700,60,25,1181369
"G0100850","1880","Alabama","010","Lowndes","0850","Lowndes",0,117,308,1743,701,465,88,40,1834570
"G0100870","1880","Alabama","010","Macon","0870","Macon",1,41,101,919,451,543,88,43,926211
"G0100890","1880","Alabama","010","Madison","0890","Madison",13,121,553,1968,943,929,82,19,1765611
"G0100910","1880","Alabama","010","Marengo","0910","Marengo",2,36,277,1114,516,638,137,88,1654653
"G0100930","1880","Alabama","010","Marion","0930","Marion",0,37,193,133,217,849,67,11,318803
"G0100950","1880","Alabama","010","Marshall","0950","Marshall",2,31,234,385,494,682,27,15,592780
"G0100970","1880","Alabama","010","Mobile","0970","Mobile",2,87,113,109,70,118,9,13,285781
"G0100990","1880","Alabama","010","Monroe","0990","Monroe",1,80,365,832,354,606,92,49,824540
"G0101010","1880","Alabama","010","Montgomery","1010","Montgomery",2,138,457,2257,928,634,78,54,2392568
"G0101030","1880","Alabama","010","Morgan","1030","Morgan",0,57,377,670,462,709,54,23,650694
"G0101050","1880","Alabama","010","Perry","1050","Perry",4,57,181,817,559,662,110,52,1460454
"G0101070","1880","Alabama","010","Pickens","1070","Pickens",2,17,96,308,367,1066,148,51,1353348
"G0101090","1880","Alabama","010","Pike","1090","Pike",1,32,88,834,485,858,76,15,1195991
"G0101110","1880","Alabama","010","Randolph","1110","Randolph",3,31,266,453,538,912,49,7,741189
"G0101130","1880","Alabama","010","Russell","1130","Russell",8,121,126,1418,440,354,96,44,1249437
"G0101150","1880","Alabama","010","St Clair","1150","St Clair",4,18,142,271,381,791,56,11,590138
"G0101170","1880","Alabama","010","Shelby","1170","Shelby",0,20,124,311,413,731,65,12,616175
"G0101190","1880","Alabama","010","Sumter","1190","Sumter",3,40,260,1260,561,582,140,75,1590327
"G0101210","1880","Alabama","010","Talladega","1210","Talladega",0,38,135,523,392,715,81,34,1084873
"G0101230","1880","Alabama","010","Tallapoosa","1230","Tallapoosa",0,5,97,363,510,981,75,25,1218135
"G0101250","1880","Alabama","010","Tuscaloosa","1250","Tuscaloosa",1,49,165,413,353,1098,165,53,886162
"G0101270","1880","Alabama","010","Walker","1270","Walker",1,18,128,162,229,842,76,18,295238
"G0101290","1880","Alabama","010","Washington","1290","Washington",4,5,29,104,85,114,17,13,130261
"G0101310","1880","Alabama","010","Wilcox","1310","Wilcox",7,188,566,1930,549,546,117,71,1831547
"G0101330","1880","Alabama","010","Winston","1330","Winston",0,3,10,42,100,446,21,5,100892
"G0250055","1880","Alaska Territory","025","Northern District","0055","Northern District",,,,,,,,,
"G0250095","1880","Alaska Territory","025","Southern District","0095","Southern District",,,,,,,,,
"G0450015","1880","Arizona Territory","045","Apache","0015","Apache",0,3,11,12,13,56,0,1,63960
"G0450135","1880","Arizona Territory","045","Maricopa","0135","Maricopa",0,1,3,5,19,132,7,4,210785
"G0450155","1880","Arizona Territory","045","Mohave","0155","Mohave",0,3,2,4,7,25,0,0,19998
"G0450195","1880","Arizona Territory","045","Pima","0195","Pima",0,2,1,12,40,78,2,2,88837
"G0450215","1880","Arizona Territory","045","Pinal","0215","Pinal",0,1,1,3,8,56,6,1,71875
"G0450255","1880","Arizona Territory","045","Yavapai","0255","Yavapai",0,7,17,20,17,180,2,1,149872
"G0450275","1880","Arizona Territory","045","Yuma","0275","Yuma",0,0,0,0,0,1,0,1,9000
"G0500010","1880","Arkansas","050","Arkansas","0010","Arkansas",5,30,116,156,201,441,24,18,469621
"G0500030","1880","Arkansas","050","Ashley","0030","Ashley",0,28,185,282,226,576,48,13,678570
"G0500050","1880","Arkansas","050","Baxter","0050","Baxter",1,8,57,102,171,455,9,2,259154
"G0500070","1880","Arkansas","050","Benton","0070","Benton",5,29,77,512,842,1242,17,1,569458
"G0500090","1880","Arkansas","050","Boone","0090","Boone",2,53,182,294,345,772,8,1,426575
"G0500110","1880","Arkansas","050","Bradley","0110","Bradley",2,16,70,115,134,526,52,20,366244
"G0500130","1880","Arkansas","050","Calhoun","0130","Calhoun",0,9,29,132,188,508,23,3,374948
"G0500150","1880","Arkansas","050","Carroll","0150","Carroll",2,37,169,277,258,629,6,0,255816
"G0500170","1880","Arkansas","050","Chicot","0170","Chicot",0,1,4,36,60,135,36,30,895467
"G0500190","1880","Arkansas","050","Clark","0190","Clark",4,16,262,397,405,783,32,13,1076692
"G0500210","1880","Arkansas","050","Clay","0210","Clay",1,15,66,283,307,285,3,0,266240
"G0500270","1880","Arkansas","050","Columbia","0270","Columbia",14,14,100,257,370,1132,73,16,877408
"G0500290","1880","Arkansas","050","Conway","0290","Conway",2,42,269,451,379,474,8,2,652660
"G0500310","1880","Arkansas","050","Craighead","0310","Craighead",0,33,192,217,288,380,12,8,450531
"G0500330","1880","Arkansas","050","Crawford","0330","Crawford",0,23,123,330,461,446,9,0,743487
"G0500350","1880","Arkansas","050","Crittenden","0350","Crittenden",0,25,279,308,90,152,35,21,849271
"G0500370","1880","Arkansas","050","Cross","0370","Cross",0,6,44,74,136,265,14,4,321667
"G0500390","1880","Arkansas","050","Dallas","0390","Dallas",0,15,113,183,180,582,66,15,377816
"G0500410","1880","Arkansas","050","Desha","0410","Desha",0,38,288,243,90,197,33,36,777224
"G0500415","1880","Arkansas","050","Dorsey","0415","Dorsey",0,35,94,106,234,649,48,12,439993
"G0500430","1880","Arkansas","050","Drew","0430","Drew",0,17,72,192,269,762,78,15,602713
"G0500450","1880","Arkansas","050","Faulkner","0450","Faulkner",5,34,125,247,611,749,10,5,623225
"G0500470","1880","Arkansas","050","Franklin","0470","Franklin",0,29,147,411,571,515,12,4,835866
"G0500490","1880","Arkansas","050","Fulton","0490","Fulton",0,11,62,90,196,501,6,0,289726
"G0500510","1880","Arkansas","050","Garland","0510","Garland",0,13,16,51,154,431,6,1,179262
"G0500530","1880","Arkansas","050","Grant","0530","Grant",1,9,88,97,226,636,28,3,364111
"G0500550","1880","Arkansas","050","Greene","0550","Greene",0,14,105,345,398,315,2,2,432910
"G0500570","1880","Arkansas","050","Hempstead","0570","Hempstead",0,28,174,512,578,678,35,12,1067911
"G0500590","1880","Arkansas","050","Hot Spring","0590","Hot Spring",1,9,100,174,281,419,16,4,369189
"G0500610","1880","Arkansas","050","Howard","0610","Howard",0,25,97,189,213,523,19,8,533670
"G0500630","1880","Arkansas","050","Independence","0630","Independence",0,79,383,572,444,922,50,15,996158
"G0500650","1880","Arkansas","050","Izard","0650","Izard",1,17,93,164,358,640,21,2,498258
"G0500670","1880","Arkansas","050","Jackson","0670","Jackson",1,41,225,376,222,381,24,12,864723
"G0500690","1880","Arkansas","050","Jefferson","0690","Jefferson",0,51,432,432,145,258,55,43,1550841
"G0500710","1880","Arkansas","050","Johnson","0710","Johnson",1,18,67,238,485,514,9,2,681569
"G0500730","1880","Arkansas","050","Lafayette","0730","Lafayette",0,17,86,191,161,307,19,10,409395
"G0500750","1880","Arkansas","050","Lawrence","0750","Lawrence",0,29,205,236,261,498,17,4,563635
"G0500770","1880","Arkansas","050","Lee","0770","Lee",0,15,156,292,203,324,52,28,1124278
"G0500790","1880","Arkansas","050","Lincoln","0790","Lincoln",0,19,68,111,194,465,36,17,583245
"G0500810","1880","Arkansas","050","Little River","0810","Little River",5,6,52,101,167,300,21,11,453551
"G0500830","1880","Arkansas","050","Logan","0830","Logan",0,23,201,503,533,707,17,6,843750
"G0500850","1880","Arkansas","050","Lonoke","0850","Lonoke",4,103,428,391,388,531,36,19,806779
"G0500870","1880","Arkansas","050","Madison","0870","Madison",0,58,181,383,383,568,12,1,399360
"G0500890","1880","Arkansas","050","Marion","0890","Marion",1,18,97,248,209,370,4,0,370590
"G0500910","1880","Arkansas","050","Miller","0910","Miller",3,10,58,192,240,394,25,20,686894
"G0500930","1880","Arkansas","050","Mississippi","0930","Mississippi",2,50,152,210,102,175,15,19,621622
"G0500950","1880","Arkansas","050","Monroe","0950","Monroe",4,10,179,275,153,286,35,10,783470
"G0500970","1880","Arkansas","050","Montgomery","0970","Montgomery",1,24,59,129,137,312,2,0,208912
"G0500990","1880","Arkansas","050","Nevada","0990","Nevada",2,26,85,237,386,771,52,3,714772
"G0501010","1880","Arkansas","050","Newton","1010","Newton",0,52,196,240,158,267,0,1,228446
"G0501030","1880","Arkansas","050","Ouachita","1030","Ouachita",0,16,64,305,320,727,51,19,597460
"G0501050","1880","Arkansas","050","Perry","1050","Perry",1,11,51,105,151,247,13,2,209998
"G0501070","1880","Arkansas","050","Phillips","1070","Phillips",2,27,238,477,190,302,48,27,1548538
"G0501090","1880","Arkansas","050","Pike","1090","Pike",0,16,53,90,145,576,13,2,296006
"G0501110","1880","Arkansas","050","Poinsett","1110","Poinsett",0,5,16,42,68,160,5,1,128517
"G0501130","1880","Arkansas","050","Polk","1130","Polk",0,43,149,196,155,327,2,0,222598
"G0501150","1880","Arkansas","050","Pope","1150","Pope",4,82,307,503,589,604,9,0,812986
"G0501170","1880","Arkansas","050","Prairie","1170","Prairie",2,29,170,293,257,349,21,6,462902
"G0501190","1880","Arkansas","050","Pulaski","1190","Pulaski",1,104,499,688,447,380,26,9,1313318
"G0501210","1880","Arkansas","050","Randolph","1210","Randolph",2,24,133,314,376,600,20,7,577921
"G0501230","1880","Arkansas","050","St Francis","1230","St Francis",2,21,116,202,183,246,11,8,436845
"G0501250","1880","Arkansas","050","Saline","1250","Saline",0,0,13,164,356,476,11,5,508278
"G0501270","1880","Arkansas","050","Scott","1270","Scott",0,19,61,95,326,697,8,2,415335
"G0501290","1880","Arkansas","050","Searcy","1290","Searcy",0,52,144,178,193,314,3,0,298734
"G0501310","1880","Arkansas","050","Sebastian","1310","Sebastian",0,57,481,679,583,607,13,1,867130
"G0501330","1880","Arkansas","050","Sevier","1330","Sevier",2,21,152,142,127,343,20,7,311105
"G0501350","1880","Arkansas","050","Sharp","1350","Sharp",1,20,92,145,243,660,19,3,460323
"G0501370","1880","Arkansas","050","Stone","1370","Stone",1,20,68,104,142,298,4,0,209255
"G0501390","1880","Arkansas","050","Union","1390","Union",0,15,65,259,275,1001,99,26,760152
"G0501410","1880","Arkansas","050","Van Buren","1410","Van Buren",1,6,54,115,266,675,10,0,358175
"G0501430","1880","Arkansas","050","Washington","1430","Washington",2,61,159,513,860,1337,30,4,736669
"G0501450","1880","Arkansas","050","White","1450","White",4,27,194,380,705,958,39,12,925392
"G0501470","1880","Arkansas","050","Woodruff","1470","Woodruff",1,7,163,353,161,216,26,7,684058
"G0501490","1880","Arkansas","050","Yell","1490","Yell",1,59,230,356,478,728,22,8,836893
"G0600010","1880","California","060","Alameda","0010","Alameda",12,177,161,239,201,607,82,41,2385273
"G0600030","1880","California","060","Alpine","0030","Alpine",0,0,0,0,0,28,5,0,49650
"G0600050","1880","California","060","Amador","0050","Amador",1,10,9,22,48,416,15,10,453166
"G0600070","1880","California","060","Butte","0070","Butte",1,10,9,42,105,635,119,78,2881933
"G0600090","1880","California","060","Calaveras","0090","Calaveras",0,6,13,28,30,336,38,16,308266
"G0600110","1880","California","060","Colusa","0110","Colusa",4,3,3,11,32,668,171,181,5027120
"G0600130","1880","California","060","Contra Costa","0130","Contra Costa",1,5,17,40,76,620,77,49,1377811
"G0600150","1880","California","060","Del Norte","0150","Del Norte",0,3,2,2,4,49,12,5,133530
"G0600170","1880","California","060","El Dorado","0170","El Dorado",5,11,17,33,58,379,27,12,482115
"G0600190","1880","California","060","Fresno","0190","Fresno",0,10,13,129,68,568,71,67,978269
"G0600230","1880","California","060","Humboldt","0230","Humboldt",0,40,44,172,182,687,83,101,1108808
"G0600270","1880","California","060","Inyo","0270","Inyo",0,0,2,16,22,192,5,5,295394
"G0600290","1880","California","060","Kern","0290","Kern",0,3,9,27,29,160,32,22,543336
"G0600330","1880","California","060","Lake","0330","Lake",0,6,9,19,45,359,45,29,518853
"G0600350","1880","California","060","Lassen","0350","Lassen",1,0,3,7,12,257,37,21,435497
"G0600370","1880","California","060","Los Angeles","0370","Los Angeles",5,86,230,739,418,371,27,65,1865056
"G0600410","1880","California","060","Marin","0410","Marin",3,20,25,27,19,203,101,89,1601432
"G0600430","1880","California","060","Mariposa","0430","Mariposa",0,0,4,5,7,126,17,17,181666
"G0600450","1880","California","060","Mendocino","0450","Mendocino",0,14,14,42,68,596,116,132,1084642
"G0600470","1880","California","060","Merced","0470","Merced",1,1,4,11,11,196,55,109,881389
"G0600490","1880","California","060","Modoc","0490","Modoc",0,3,1,11,13,399,38,7,398670
"G0600510","1880","California","060","Mono","0510","Mono",0,0,0,0,4,40,11,9,181431
"G0600530","1880","California","060","Monterey","0530","Monterey",4,18,21,78,100,480,79,54,1784121
"G0600550","1880","California","060","Napa","0550","Napa",0,46,46,127,118,433,69,58,1581024
"G0600570","1880","California","060","Nevada","0570","Nevada",0,6,13,23,51,242,15,6,271129
"G0600610","1880","California","060","Placer","0610","Placer",3,14,9,33,61,329,37,28,618772
"G0600630","1880","California","060","Plumas","0630","Plumas",1,5,3,6,7,151,46,17,424879
"G0600670","1880","California","060","Sacramento","0670","Sacramento",0,18,39,51,119,662,131,81,2488742
"G0600690","1880","California","060","San Benito","0690","San Benito",0,22,12,24,68,320,65,82,661299
"G0600710","1880","California","060","San Bernardino","0710","San Bernardino",3,46,90,228,147,172,9,14,430407
"G0600730","1880","California","060","San Diego","0730","San Diego",4,5,21,56,67,479,17,47,395683
"G0600750","1880","California","060","San Francisco","0750","San Francisco",76,14,14,19,16,11,1,13,650493
"G0600770","1880","California","060","San Joaquin","0770","San Joaquin",2,37,31,41,47,735,152,53,4420197
"G0600790","1880","California","060","San Luis Obispo","0790","San Luis Obispo",0,10,21,58,82,521,67,73,925699
"G0600810","1880","California","060","San Mateo","0810","San Mateo",0,33,31,94,75,338,67,31,716742
"G0600830","1880","California","060","Santa Barbara","0830","Santa Barbara",1,30,56,103,112,312,30,69,746654
"G0600850","1880","California","060","Santa Clara","0850","Santa Clara",2,143,147,170,259,673,59,39,2157335
"G0600870","1880","California","060","Santa Cruz","0870","Santa Cruz",0,10,33,66,129,315,14,17,726500
"G0600890","1880","California","060","Shasta","0890","Shasta",1,3,12,28,40,395,51,14,423370
"G0600910","1880","California","060","Sierra","0910","Sierra",0,3,8,4,11,118,12,0,252387
"G0600930","1880","California","060","Siskiyou","0930","Siskiyou",0,21,18,21,31,179,49,22,548619
"G0600950","1880","California","060","Solano","0950","Solano",0,12,14,58,90,652,128,62,2766035
"G0600970","1880","California","060","Sonoma","0970","Sonoma",4,73,83,235,313,1208,183,130,2740461
"G0600990","1880","California","060","Stanislaus","0990","Stanislaus",0,3,3,11,24,306,174,171,2142134
"G0601010","1880","California","060","Sutter","1010","Sutter",0,8,5,16,38,404,76,34,1526736
"G0601030","1880","California","060","Tehama","1030","Tehama",2,2,2,18,46,421,56,89,1693888
"G0601050","1880","California","060","Trinity","1050","Trinity",0,5,6,25,22,70,6,8,113221
"G0601070","1880","California","060","Tulare","1070","Tulare",4,15,20,75,214,670,66,61,712374
"G0601090","1880","California","060","Tuolumne","1090","Tuolumne",0,17,23,44,42,506,61,28,393936
"G0601110","1880","California","060","Ventura","1110","Ventura",0,23,29,63,82,298,31,47,649147
"G0601130","1880","California","060","Yolo","1130","Yolo",0,5,19,60,69,591,116,69,2761749
"G0601150","1880","California","060","Yuba","1150","Yuba",2,9,12,18,37,331,57,49,824385
"G0800050","1880","Colorado","080","Arapahoe","0050","Arapahoe",0,9,23,28,59,223,19,7,775751
"G0800110","1880","Colorado","080","Bent","0110","Bent",0,0,0,1,1,24,9,5,105621
"G0800130","1880","Colorado","080","Boulder","0130","Boulder",0,1,9,25,60,289,25,5,681769
"G0800150","1880","Colorado","080","Chaffee","0150","Chaffee",0,0,0,0,3,28,0,0,46805
"G0800190","1880","Colorado","080","Clear Creek","0190","Clear Creek",0,1,2,5,1,15,2,0,24624
"G0800210","1880","Colorado","080","Conejos","0210","Conejos",0,0,2,3,3,37,0,1,35707
"G0800230","1880","Colorado","080","Costilla","0230","Costilla",0,4,1,5,7,50,5,1,21020
"G0800270","1880","Colorado","080","Custer","0270","Custer",0,0,0,0,6,140,4,2,160071
"G0800350","1880","Colorado","080","Douglas","0350","Douglas",0,0,0,5,13,189,24,14,157399
"G0800390","1880","Colorado","080","Elbert","0390","Elbert",0,0,1,2,4,126,17,5,125529
"G0800410","1880","Colorado","080","El Paso","0410","El Paso",0,2,2,8,12,127,26,33,137174
"G0800430","1880","Colorado","080","Fremont","0430","Fremont",0,3,2,9,21,80,2,0,76900
"G0800470","1880","Colorado","080","Gilpin","0470","Gilpin",0,0,0,2,1,19,1,1,39674
"G0800490","1880","Colorado","080","Grand","0490","Grand",0,0,0,1,1,29,0,0,3160
"G0800510","1880","Colorado","080","Gunnison","0510","Gunnison",0,0,0,0,4,45,1,0,25590
"G0800530","1880","Colorado","080","Hinsdale","0530","Hinsdale",0,0,0,0,0,4,0,0,4300
"G0800550","1880","Colorado","080","Huerfano","0550","Huerfano",0,1,1,1,2,89,3,1,73650
"G0800590","1880","Colorado","080","Jefferson","0590","Jefferson",0,0,1,8,51,294,30,2,471490
"G0800650","1880","Colorado","080","Lake","0650","Lake",0,0,0,0,0,12,0,1,30100
"G0800670","1880","Colorado","080","La Plata","0670","La Plata",0,0,0,3,3,99,0,0,61552
"G0800690","1880","Colorado","080","Larimer","0690","Larimer",1,9,16,40,84,270,8,2,478274
"G0800710","1880","Colorado","080","Las Animas","0710","Las Animas",0,0,24,126,132,117,1,0,243374
"G0800910","1880","Colorado","080","Ouray","0910","Ouray",0,0,0,2,5,21,0,0,21275
"G0800930","1880","Colorado","080","Park","0930","Park",0,1,1,2,4,97,11,18,164244
"G0801010","1880","Colorado","080","Pueblo","1010","Pueblo",0,1,0,11,36,133,5,5,136184
"G0801050","1880","Colorado","080","Rio Grande","1050","Rio Grande",0,0,0,3,6,150,7,1,68294
"G0801070","1880","Colorado","080","Routt","1070","Routt",0,9,2,1,0,0,0,0,3024
"G0801090","1880","Colorado","080","Saguache","1090","Saguache",0,0,0,0,1,60,15,7,221110
"G0801110","1880","Colorado","080","San Juan","1110","San Juan",0,0,0,0,0,0,0,0,0
"G0801170","1880","Colorado","080","Summit","1170","Summit",0,0,0,0,0,0,0,0,0
"G0801230","1880","Colorado","080","Weld","1230","Weld",0,5,9,44,139,255,18,3,641563
"G0900010","1880","Connecticut","090","Fairfield","0010","Fairfield",8,557,774,1620,1446,960,3,0,3143302
"G0900030","1880","Connecticut","090","Hartford","0030","Hartford",6,576,754,1478,1347,1358,18,3,4224467
"G0900050","1880","Connecticut","090","Litchfield","0050","Litchfield",1,243,370,821,1183,2099,34,5,3002674
"G0900070","1880","Connecticut","090","Middlesex","0070","Middlesex",4,191,265,641,652,582,9,0,1033761
"G0900090","1880","Connecticut","090","New Haven","0090","New Haven",1,291,460,1089,1069,1008,14,0,2416763
"G0900110","1880","Connecticut","090","New London","0110","New London",8,117,247,587,885,1394,30,5,1685032
"G0900130","1880","Connecticut","090","Tolland","0130","Tolland",3,76,143,408,750,843,10,1,1094451
"G0900150","1880","Connecticut","090","Windham","0150","Windham",3,210,234,644,775,1267,15,3,1409625
"G0950015","1880","Dakota Territory","095","Aurora","0015","Aurora",0,0,0,0,0,21,0,0,1562
"G0950035","1880","Dakota Territory","095","Barnes","0035","Barnes",0,0,0,1,4,73,4,1,25830
"G0950037","1880","Dakota Territory","095","Beadle","0037","Beadle",0,1,2,0,0,0,0,0,861
"G0950055","1880","Dakota Territory","095","Billings","0055","Billings",0,0,0,0,0,0,0,0,0
"G0950075","1880","Dakota Territory","095","Bon Homme","0075","Bon Homme",0,0,1,2,12,829,17,1,221920
"G0950095","1880","Dakota Territory","095","Boreman","0095","Boreman",2,0,1,3,5,2,0,0,2753
"G0950115","1880","Dakota Territory","095","Bottineau","0115","Bottineau",0,0,0,0,0,0,0,0,0
"G0950135","1880","Dakota Territory","095","Brookings","0135","Brookings",0,0,0,0,11,711,6,1,146205
"G0950155","1880","Dakota Territory","095","Brown","0155","Brown",0,0,0,0,1,27,0,0,617
"G0950175","1880","Dakota Territory","095","Brule","0175","Brule",0,0,0,0,0,75,0,0,4782
"G0950195","1880","Dakota Territory","095","Buffalo","0195","Buffalo",0,1,0,0,0,1,0,0,1330
"G0950215","1880","Dakota Territory","095","Burleigh","0215","Burleigh",0,2,3,2,5,127,3,1,97472
"G0950235","1880","Dakota Territory","095","Campbell","0235","Campbell",0,0,0,0,0,1,0,0,400
"G0950255","1880","Dakota Territory","095","Cass","0255","Cass",0,0,0,2,40,890,51,33,1210887
"G0950275","1880","Dakota Territory","095","Cavalier","0275","Cavalier",0,0,0,0,0,0,0,0,0
"G0950295","1880","Dakota Territory","095","Charles Mix","0295","Charles Mix",0,1,0,1,0,34,0,0,17189
"G0950315","1880","Dakota Territory","095","Cheyenne","0315","Cheyenne",0,0,0,0,0,0,0,0,0
"G0950335","1880","Dakota Territory","095","Clark","0335","Clark",0,0,0,0,0,38,0,0,0
"G0950355","1880","Dakota Territory","095","Clay","0355","Clay",0,0,2,8,36,715,20,1,255978
"G0950375","1880","Dakota Territory","095","Codington","0375","Codington",0,0,0,1,9,376,2,1,43176
"G0950395","1880","Dakota Territory","095","Custer","0395","Custer",0,0,0,0,0,88,0,0,10107
"G0950415","1880","Dakota Territory","095","Davison","0415","Davison",0,0,0,0,0,300,4,0,14376
"G0950435","1880","Dakota Territory","095","Day","0435","Day",0,0,0,0,1,5,0,0,487
"G0950455","1880","Dakota Territory","095","Delano","0455","Delano",0,0,0,0,0,0,0,0,0
"G0950475","1880","Dakota Territory","095","Desmet","0475","Desmet",0,0,0,0,0,0,0,0,0
"G0950495","1880","Dakota Territory","095","Deuel","0495","Deuel",0,0,0,3,21,420,6,0,53062
"G0950515","1880","Dakota Territory","095","Douglas","0515","Douglas",0,0,0,0,0,1,0,0,0
"G0950535","1880","Dakota Territory","095","Edmunds","0535","Edmunds",0,0,0,0,0,0,0,0,0
"G0950555","1880","Dakota Territory","095","Emmons","0555","Emmons",0,0,0,0,0,8,0,0,3813
"G0950575","1880","Dakota Territory","095","Faulk","0575","Faulk",0,0,0,0,0,0,0,0,0
"G0950595","1880","Dakota Territory","095","Forsythe","0595","Forsythe",0,0,0,0,0,0,0,0,0
"G0950615","1880","Dakota Territory","095","Foster","0615","Foster",0,0,0,0,0,3,0,0,1800
"G0950617","1880","Dakota Territory","095","Fort Sisseton","0617","Fort Sisseton",,,,,,,,,
"G0950635","1880","Dakota Territory","095","Gingras","0635","Gingras",0,0,0,0,0,0,0,0,0
"G0950655","1880","Dakota Territory","095","Grand Forks","0655","Grand Forks",0,0,1,4,8,1018,8,0,291405
"G0950675","1880","Dakota Territory","095","Grant","0675","Grant",0,0,0,0,0,87,0,0,13473
"G0950695","1880","Dakota Territory","095","Gregory","0695","Gregory",0,0,0,0,0,0,0,0,0
"G0950715","1880","Dakota Territory","095","Hamlin","0715","Hamlin",0,0,0,0,0,92,2,2,21662
"G0950735","1880","Dakota Territory","095","Hand","0735","Hand",0,0,0,0,0,0,0,0,0
"G0950755","1880","Dakota Territory","095","Hanson","0755","Hanson",0,0,0,0,2,274,6,0,10986
"G0950775","1880","Dakota Territory","095","Howard","0775","Howard",0,0,0,0,0,0,0,0,0
"G0950795","1880","Dakota Territory","095","Hughes","0795","Hughes",2,4,3,4,4,12,0,0,620
"G0950815","1880","Dakota Territory","095","Hutchinson","0815","Hutchinson",0,0,0,0,1,940,15,4,223497
"G0950835","1880","Dakota Territory","095","Hyde","0835","Hyde",0,0,0,0,0,0,0,0,0
"G0950875","1880","Dakota Territory","095","Kidder","0875","Kidder",0,0,0,0,0,1,0,2,16900
"G0950895","1880","Dakota Territory","095","Kingsbury","0895","Kingsbury",0,0,0,0,0,12,0,0,2218
